Agent,Route,Time(steps),Distance(m),Speed(m/s),MaxSpeed(m/s),Edges,TLS_enc,Amber_enc,Red_enc,Green_enc,Amber_runs,Red_runs,Green_runs,Sudden_brakes,MaxDecel(m/s^2),AvgDecel(m/s^2),Lane_changes,Collisions,WaitTime(s)
risky_1,1,506,1734.77,3.43,8.39,53,5,0,5,0,0,5,0,75,4.5,6.71,52,0,0.0
safe_1,7,401,2306.8,5.75,10.02,84,7,0,6,1,2,4,1,44,4.5,8.35,86,0,0.0
risky_1,7,704,2305.16,3.27,9.49,90,7,1,5,1,3,3,1,103,4.5,6.56,92,0,0.0
safe_1,9,402,2179.75,5.42,9.48,67,4,1,3,0,1,3,0,36,4.5,9.96,66,0,0.0
risky_1,9,559,2180.06,3.9,8.39,67,4,3,1,0,2,2,0,92,4.5,6.64,67,0,0.0
safe_1,2,521,2529.76,4.86,9.48,86,4,1,3,0,1,2,1,59,4.5,8.43,89,0,0.0
risky_1,2,760,2535.39,3.34,8.39,82,4,1,3,0,0,4,0,120,4.5,6.5,85,0,0.0
safe_1,8,301,5.0,0.02,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
risky_1,8,602,5.0,0.01,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
safe_1,5,265,1507.29,5.69,9.48,46,4,0,4,0,1,3,0,26,4.5,9.08,46,0,0.0
risky_1,5,411,1504.48,3.66,8.39,49,4,1,3,0,0,4,0,54,4.5,6.84,49,0,0.0
safe_1,5,270,1503.16,5.57,9.48,49,4,1,3,0,0,4,0,36,4.5,7.18,49,0,0.0
risky_1,5,392,1507.41,3.85,8.39,50,4,0,4,0,2,2,0,64,4.5,6.08,50,0,0.0
safe_1,4,399,2016.27,5.05,9.48,53,6,1,5,0,2,4,0,49,4.5,7.81,54,0,0.0
risky_1,4,622,2018.12,3.24,8.39,55,6,2,4,0,1,5,0,73,4.5,7.19,56,0,0.0
safe_1,3,254,1543.76,6.08,9.48,48,4,2,1,1,0,3,1,29,4.5,7.28,49,0,0.0
risky_1,3,441,1544.09,3.5,8.39,51,4,0,3,1,0,4,0,66,4.5,6.18,53,0,0.0
safe_1,4,328,2019.54,6.16,9.48,53,6,1,5,0,2,4,0,35,4.5,9.24,54,0,0.0
risky_1,4,587,2018.24,3.44,8.39,55,6,0,6,0,2,4,0,77,4.5,6.41,56,0,0.0
safe_1,8,301,5.0,0.02,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
risky_1,8,602,9.44,0.02,8.94,2,0,0,0,0,0,0,0,1,4.5,4.5,1,0,0.0
safe_1,8,301,5.0,0.02,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
risky_1,8,602,9.44,0.02,8.94,2,0,0,0,0,0,0,0,2,4.5,4.47,1,0,0.0
safe_1,7,495,2307.0,4.66,11.13,84,7,3,3,1,5,1,1,49,4.5,8.86,85,0,0.0
risky_1,7,645,2309.34,3.58,9.07,89,7,1,5,1,1,5,1,78,4.5,7.41,90,0,0.0
safe_1,4,431,2019.2,4.68,9.48,53,6,3,3,0,1,5,0,41,4.5,9.84,54,0,0.0
risky_1,4,620,2017.17,3.25,8.39,54,6,1,5,0,1,5,0,72,4.5,7.0,57,0,0.0
safe_1,3,227,1541.7,6.79,9.48,50,4,0,4,0,0,4,0,23,4.5,9.13,50,0,0.0
risky_1,3,393,1545.62,3.93,8.39,49,4,1,3,0,1,3,0,66,4.5,6.08,51,0,0.0
safe_1,6,364,1771.89,4.87,9.48,66,9,3,5,1,4,4,1,37,4.5,7.9,65,0,0.0
risky_1,6,599,1769.98,2.95,8.39,67,9,2,6,1,3,4,2,75,4.5,6.77,67,0,0.0
safe_1,10,437,2152.36,4.93,9.48,71,8,3,4,1,3,4,1,44,4.5,9.03,71,0,0.0
risky_1,10,616,2155.55,3.5,8.39,71,8,2,6,0,0,8,0,96,4.5,6.29,72,0,0.0
safe_1,7,408,2307.86,5.66,9.83,88,7,1,5,1,3,3,1,46,4.5,8.4,89,0,0.0
risky_1,7,698,2310.63,3.31,8.62,92,7,0,6,1,1,5,1,88,4.5,7.03,93,0,0.0
safe_1,4,360,2022.01,5.62,9.48,52,6,0,6,0,1,5,0,41,4.5,8.29,53,0,0.0
risky_1,4,555,2021.12,3.64,8.39,53,6,1,5,0,2,4,0,77,4.5,6.67,58,0,0.0
safe_1,10,379,2151.74,5.68,9.48,72,8,3,4,1,2,5,1,46,4.5,7.95,73,0,0.0
risky_1,10,547,2149.85,3.93,8.39,71,8,1,6,1,4,3,1,85,4.5,6.15,72,0,0.0
safe_1,1,325,1738.52,5.35,9.48,49,5,1,4,0,1,4,0,37,4.5,8.67,48,0,0.0
risky_1,1,459,1742.3,3.8,8.39,51,5,0,5,0,0,5,0,75,4.5,6.49,51,0,0.0
safe_1,5,243,1508.88,6.21,9.48,44,4,1,3,0,0,4,0,27,4.5,8.85,44,0,0.0
risky_1,5,459,1508.57,3.29,8.39,50,4,1,3,0,2,2,0,60,4.5,7.31,50,0,0.0
safe_1,8,301,5.0,0.02,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
risky_1,8,602,5.0,0.01,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
safe_1,6,386,1769.81,4.59,9.48,66,9,3,4,2,3,4,2,47,4.5,7.65,65,0,0.0
risky_1,6,531,1769.26,3.33,8.39,66,9,0,8,1,1,6,2,66,4.5,6.82,66,0,0.0
safe_1,1,298,1741.49,5.84,9.48,50,5,2,2,1,1,3,1,31,4.5,8.39,49,0,0.0
risky_1,1,507,1742.63,3.44,8.39,51,5,1,3,1,2,2,1,81,4.5,5.99,50,0,0.0
safe_1,2,498,2529.21,5.08,9.48,84,4,1,2,1,3,0,1,52,4.5,9.27,87,0,0.0
risky_1,2,613,2530.8,4.13,8.39,86,4,3,1,0,2,1,1,98,4.5,6.29,88,0,0.0
safe_1,6,346,1765.32,5.1,9.48,64,9,2,5,2,1,6,2,40,4.5,7.88,63,0,0.0
risky_1,6,573,1765.5,3.08,8.39,65,9,2,5,2,2,5,2,80,4.5,6.15,64,0,0.0
safe_1,3,253,1540.19,6.09,9.48,48,4,1,2,1,2,1,1,28,4.5,7.86,49,0,0.0
risky_1,3,372,1547.71,4.16,8.39,49,4,1,3,0,2,2,0,52,4.5,6.95,50,0,0.0
safe_1,1,283,1735.48,6.13,9.48,51,5,1,3,1,3,1,1,41,4.5,7.23,50,0,0.0
risky_1,1,483,1737.49,3.6,8.39,52,5,2,3,0,2,3,0,69,4.5,6.74,52,0,0.0
safe_1,5,262,1507.46,5.75,9.48,48,4,1,3,0,1,3,0,31,4.5,7.65,48,0,0.0
risky_1,5,444,1512.07,3.41,8.39,49,4,1,3,0,2,2,0,58,4.5,7.1,49,0,0.0
safe_1,3,271,1538.61,5.68,9.48,49,4,2,1,1,0,3,1,37,4.5,7.18,49,0,0.0
risky_1,3,457,1547.07,3.39,8.39,50,4,0,3,1,0,3,1,62,4.5,6.79,50,0,0.0
safe_1,6,403,1764.0,4.38,9.48,63,9,3,5,1,2,5,2,36,4.5,9.09,62,0,0.0
risky_1,6,457,1768.54,3.87,8.39,66,9,2,5,2,2,5,2,63,4.5,6.52,65,0,0.0
safe_1,2,488,2526.55,5.18,9.48,83,4,1,2,1,3,0,1,58,4.5,8.37,84,0,0.0
risky_1,2,702,2529.19,3.6,8.39,88,4,1,2,1,1,2,1,101,4.5,6.81,90,0,0.0
safe_1,8,301,5.0,0.02,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
risky_1,8,602,5.0,0.01,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
safe_1,7,438,2306.37,5.27,9.48,89,7,1,5,1,1,5,1,52,4.5,8.46,90,0,0.0
risky_1,7,685,2310.67,3.37,8.39,91,7,2,4,1,2,4,1,101,4.5,6.39,92,0,0.0
safe_1,7,397,2307.62,5.81,9.65,90,7,1,5,1,0,6,1,49,4.5,7.88,91,0,0.0
risky_1,7,691,2302.84,3.33,8.44,89,7,0,6,1,0,6,1,90,4.5,7.12,90,0,0.0
safe_1,9,377,2178.86,5.78,9.48,68,4,1,3,0,2,2,0,41,4.5,8.64,67,0,0.0
